
2024/10/04 (16:47:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/04 (16:47:55) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/10/04 (16:47:55) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/05 (15:39:37) | ===> btop++ v.1.4.0
2024/10/05 (15:39:37) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/08 (15:00:44) | ===> btop++ v.1.4.0
2024/10/08 (15:00:44) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/09 (17:49:55) | ===> btop++ v.1.4.0
2024/10/09 (17:49:55) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/10 (16:52:46) | ===> btop++ v.1.4.0
2024/10/10 (16:52:46) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/10 (16:53:02) | ===> btop++ v.1.4.0
2024/10/10 (16:53:02) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/12 (17:11:37) | ===> btop++ v.1.4.0
2024/10/12 (17:11:37) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/12 (17:13:53) | ===> btop++ v.1.4.0
2024/10/12 (17:13:53) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/12 (17:15:03) | ===> btop++ v.1.4.0
2024/10/12 (17:15:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (14:43:03) | ===> btop++ v.1.4.0
2024/10/14 (14:43:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/15 (12:44:05) | ===> btop++ v.1.4.0
2024/10/15 (12:44:05) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/15 (14:07:14) | ===> btop++ v.1.4.0
2024/10/15 (14:07:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/17 (10:12:34) | ===> btop++ v.1.4.0
2024/10/17 (10:12:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/17 (10:12:34) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/10/17 (10:12:34) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/18 (10:36:58) | ===> btop++ v.1.4.0
2024/10/18 (10:36:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/18 (10:36:58) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/10/18 (10:36:58) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/20 (13:45:12) | ===> btop++ v.1.4.0
2024/10/20 (13:45:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/20 (13:45:12) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/10/20 (13:45:12) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/22 (12:03:19) | ===> btop++ v.1.4.0
2024/10/22 (12:03:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/22 (12:03:19) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/10/22 (12:03:19) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/22 (12:16:43) | ===> btop++ v.1.4.0
2024/10/22 (12:16:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/22 (12:16:43) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/10/22 (12:16:43) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/24 (10:49:32) | ===> btop++ v.1.4.0
2024/10/24 (10:49:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/24 (10:49:32) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/10/24 (10:49:32) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/25 (18:21:53) | ===> btop++ v.1.4.0
2024/10/25 (18:21:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/25 (18:21:53) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/10/25 (18:21:53) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/27 (14:03:58) | ===> btop++ v.1.4.0
2024/10/27 (14:03:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/27 (14:03:58) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/10/27 (14:03:58) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/27 (16:47:12) | ===> btop++ v.1.4.0
2024/10/27 (16:47:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/27 (16:47:12) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/10/27 (16:47:12) | WARNING: Intel GPU: Failed to initialize PMU
2024/10/27 (18:36:19) | ERROR: Stall in Runner thread, restarting!
2024/10/27 (19:43:50) | ERROR: Stall in Runner thread, restarting!

2024/10/28 (11:50:06) | ===> btop++ v.1.4.0
2024/10/28 (11:50:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/28 (11:50:06) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/10/28 (11:50:06) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/28 (12:49:05) | ===> btop++ v.1.4.0
2024/10/28 (12:49:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/28 (12:49:05) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/10/28 (12:49:05) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/28 (12:49:14) | ===> btop++ v.1.4.0
2024/10/28 (12:49:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/28 (12:49:14) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/10/28 (12:49:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/30 (15:25:44) | ===> btop++ v.1.4.0
2024/10/30 (15:25:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/30 (15:25:44) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/10/30 (15:25:44) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/31 (11:49:04) | ===> btop++ v.1.4.0
2024/10/31 (11:49:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/31 (11:49:04) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/10/31 (11:49:04) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/01 (12:47:14) | ===> btop++ v.1.4.0
2024/11/01 (12:47:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/01 (12:47:14) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/11/01 (12:47:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/01 (12:47:20) | ===> btop++ v.1.4.0
2024/11/01 (12:47:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/01 (12:47:20) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/11/01 (12:47:20) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/01 (13:38:17) | ===> btop++ v.1.4.0
2024/11/01 (13:38:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/01 (13:38:17) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/11/01 (13:38:17) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/01 (16:17:33) | ===> btop++ v.1.4.0
